,Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Date_formatted,season,season_name,Hour,time_of_day,Month,Day,rating_label,Cummulative_Sales
612,789-23-8625,B,Mandalay,Member,Male,Fashion accessories,93.22,3,13.98,293.64,1/24/2019,11:45:00,Cash,279.66,4.76,13.98,7.2,2019-01-24,1,Winter,11,Morning,1,24,Moderate,82875.88999999997
796,443-60-9639,C,Naypyitaw,Member,Female,Home and lifestyle,60.87,1,3.04,63.91,1/24/2019,13:24:00,Cash,60.87,4.76,3.04,5.5,2019-01-24,1,Winter,13,Noon,1,24,Low,82939.79999999997
753,775-72-1988,B,Mandalay,Normal,Male,Home and lifestyle,73.28,5,18.32,384.72,1/24/2019,15:05:00,Ewallet,366.4,4.76,18.32,8.4,2019-01-24,1,Winter,15,Noon,1,24,High,83324.51999999997
290,139-20-0155,B,Mandalay,Member,Male,Electronic accessories,40.3,10,20.15,423.15,1/24/2019,17:37:00,Credit card,403.0,4.76,20.15,7.0,2019-01-24,1,Winter,17,Evening,1,24,Moderate,83747.66999999997
830,237-44-6163,A,Yangon,Normal,Male,Electronic accessories,10.56,8,4.22,88.7,1/24/2019,17:43:00,Cash,84.48,4.76,4.22,7.6,2019-01-24,1,Winter,17,Evening,1,24,High,83836.36999999997
531,435-13-4908,A,Yangon,Member,Male,Fashion accessories,86.68,8,34.67,728.11,1/24/2019,18:04:00,Credit card,693.44,4.76,34.67,7.2,2019-01-24,1,Winter,18,Evening,1,24,Moderate,84564.47999999997
991,602-16-6955,B,Mandalay,Normal,Female,Sports and travel,76.6,10,38.3,804.3,1/24/2019,18:10:00,Ewallet,766.0,4.76,38.3,6.0,2019-01-24,1,Winter,18,Evening,1,24,Low,85368.77999999997
684,510-79-0415,B,Mandalay,Member,Female,Sports and travel,23.08,6,6.92,145.4,1/24/2019,19:20:00,Ewallet,138.48,4.76,6.92,4.9,2019-01-24,1,Winter,19,Evening,1,24,Very low,85514.17999999996
395,726-27-2396,A,Yangon,Normal,Female,Health and beauty,77.5,5,19.38,406.88,1/24/2019,20:36:00,Ewallet,387.5,4.76,19.38,4.3,2019-01-24,1,Winter,20,Evening,1,24,Very low,85921.05999999997
935,235-06-8510,C,Naypyitaw,Member,Male,Home and lifestyle,85.72,3,12.86,270.02,1/24/2019,20:59:00,Ewallet,257.16,4.76,12.86,5.1,2019-01-24,1,Winter,20,Evening,1,24,Very low,86191.07999999997
328,730-61-8757,B,Mandalay,Member,Male,Health and beauty,51.13,4,10.23,214.75,1/25/2019,10:11:00,Credit card,204.52,4.76,10.23,4.0,2019-01-25,1,Winter,10,Morning,1,25,Very low,86405.82999999997
471,340-21-9136,A,Yangon,Member,Female,Sports and travel,40.05,4,8.01,168.21,1/25/2019,11:40:00,Cash,160.2,4.76,8.01,9.7,2019-01-25,1,Winter,11,Morning,1,25,Very High,86574.03999999998
850,843-73-4724,A,Yangon,Normal,Male,Fashion accessories,74.1,1,3.7,77.81,1/25/2019,11:05:00,Cash,74.1,4.76,3.7,9.2,2019-01-25,1,Winter,11,Morning,1,25,Very High,86651.84999999998
130,191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62,7,13.87,291.21,1/25/2019,13:18:00,Cash,277.34,4.76,13.87,7.5,2019-01-25,1,Winter,13,Noon,1,25,Moderate,86943.05999999998
141,280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,90.5,10,45.25,950.25,1/25/2019,13:48:00,Cash,905.0,4.76,45.25,8.1,2019-01-25,1,Winter,13,Noon,1,25,High,87893.30999999998
288,283-79-9594,B,Mandalay,Normal,Female,Food and beverages,48.51,7,16.98,356.55,1/25/2019,13:30:00,Credit card,339.57,4.76,16.98,5.2,2019-01-25,1,Winter,13,Noon,1,25,Very low,88249.85999999999
690,394-55-6384,C,Naypyitaw,Member,Female,Sports and travel,70.19,9,31.59,663.3,1/25/2019,13:38:00,Cash,631.71,4.76,31.59,6.7,2019-01-25,1,Winter,13,Noon,1,25,Moderate,88913.15999999999
411,569-71-4390,B,Mandalay,Normal,Male,Sports and travel,21.87,2,2.19,45.93,1/25/2019,14:29:00,Ewallet,43.74,4.76,2.19,6.9,2019-01-25,1,Winter,14,Noon,1,25,Moderate,88959.08999999998
628,856-66-2701,A,Yangon,Member,Male,Home and lifestyle,53.3,3,8.0,167.9,1/25/2019,14:19:00,Ewallet,159.9,4.76,8.0,7.5,2019-01-25,1,Winter,14,Noon,1,25,Moderate,89126.98999999998
53,778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.43,1,0.77,16.2,1/25/2019,15:46:00,Credit card,15.43,4.76,0.77,6.1,2019-01-25,1,Winter,15,Noon,1,25,Low,89143.18999999997
183,824-88-3614,C,Naypyitaw,Normal,Male,Health and beauty,34.31,8,13.72,288.2,1/25/2019,15:00:00,Ewallet,274.48,4.76,13.72,5.7,2019-01-25,1,Winter,15,Noon,1,25,Low,89431.38999999997
298,307-83-9164,A,Yangon,Member,Male,Home and lifestyle,60.01,4,12.0,252.04,1/25/2019,15:54:00,Cash,240.04,4.76,12.0,4.5,2019-01-25,1,Winter,15,Noon,1,25,Very low,89683.42999999996
415,268-03-6164,B,Mandalay,Normal,Male,Health and beauty,96.11,1,4.81,100.92,1/25/2019,16:28:00,Ewallet,96.11,4.76,4.81,7.8,2019-01-25,1,Winter,16,Noon,1,25,High,89784.34999999996
754,288-38-3758,C,Naypyitaw,Member,Female,Fashion accessories,84.87,3,12.73,267.34,1/25/2019,18:30:00,Ewallet,254.61,4.76,12.73,7.4,2019-01-25,1,Winter,18,Evening,1,25,Moderate,90051.68999999996
28,145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5,22.09,463.89,1/25/2019,19:48:00,Cash,441.8,4.76,22.09,9.6,2019-01-25,1,Winter,19,Evening,1,25,Very High,90515.57999999996
371,261-12-8671,B,Mandalay,Normal,Female,Fashion accessories,60.96,2,6.1,128.02,1/25/2019,19:39:00,Credit card,121.92,4.76,6.1,4.9,2019-01-25,1,Winter,19,Evening,1,25,Very low,90643.59999999996
210,888-02-0338,A,Yangon,Normal,Male,Electronic accessories,26.23,9,11.8,247.87,1/25/2019,20:24:00,Ewallet,236.07,4.76,11.8,5.9,2019-01-25,1,Winter,20,Evening,1,25,Low,90891.46999999996
601,881-41-7302,C,Naypyitaw,Normal,Female,Fashion accessories,64.99,1,3.25,68.24,1/26/2019,10:06:00,Credit card,64.99,4.76,3.25,4.5,2019-01-26,1,Winter,10,Morning,1,26,Very low,90959.70999999996
171,316-55-4634,B,Mandalay,Member,Male,Food and beverages,80.05,5,20.01,420.26,1/26/2019,12:45:00,Credit card,400.25,4.76,20.01,9.4,2019-01-26,1,Winter,12,Morning,1,26,Very High,91379.96999999996
844,896-34-0956,A,Yangon,Normal,Male,Fashion accessories,21.32,1,1.07,22.39,1/26/2019,12:43:00,Cash,21.32,4.76,1.07,5.9,2019-01-26,1,Winter,12,Morning,1,26,Low,91402.35999999996
391,173-82-9529,B,Mandalay,Normal,Female,Fashion accessories,37.95,10,18.98,398.48,1/26/2019,14:51:00,Cash,379.5,4.76,18.98,9.7,2019-01-26,1,Winter,14,Noon,1,26,Very High,91800.83999999995
964,794-42-3736,B,Mandalay,Normal,Male,Food and beverages,33.33,2,3.33,69.99,1/26/2019,14:41:00,Credit card,66.66,4.76,3.33,6.4,2019-01-26,1,Winter,14,Noon,1,26,Low,91870.82999999996
865,176-78-1170,C,Naypyitaw,Member,Male,Health and beauty,33.81,3,5.07,106.5,1/26/2019,15:11:00,Ewallet,101.43,4.76,5.07,7.3,2019-01-26,1,Winter,15,Noon,1,26,Moderate,91977.32999999996
972,452-04-8808,B,Mandalay,Normal,Male,Electronic accessories,87.08,7,30.48,640.04,1/26/2019,15:17:00,Cash,609.56,4.76,30.48,5.5,2019-01-26,1,Winter,15,Noon,1,26,Low,92617.36999999995
625,135-13-8269,B,Mandalay,Member,Female,Food and beverages,78.88,2,7.89,165.65,1/26/2019,16:04:00,Cash,157.76,4.76,7.89,9.1,2019-01-26,1,Winter,16,Noon,1,26,Very High,92783.01999999995
548,539-21-7227,B,Mandalay,Normal,Female,Sports and travel,51.54,5,12.88,270.58,1/26/2019,17:45:00,Cash,257.7,4.76,12.88,4.2,2019-01-26,1,Winter,17,Evening,1,26,Very low,93053.59999999995
351,834-61-8124,A,Yangon,Normal,Male,Electronic accessories,51.69,7,18.09,379.92,1/26/2019,18:22:00,Cash,361.83,4.76,18.09,5.5,2019-01-26,1,Winter,18,Evening,1,26,Low,93433.51999999995
598,258-69-7810,C,Naypyitaw,Normal,Female,Fashion accessories,36.85,5,9.21,193.46,1/26/2019,18:53:00,Cash,184.25,4.76,9.21,9.2,2019-01-26,1,Winter,18,Evening,1,26,Very High,93626.97999999995
629,308-39-1707,A,Yangon,Normal,Female,Fashion accessories,12.09,1,0.6,12.69,1/26/2019,18:19:00,Credit card,12.09,4.76,0.6,8.2,2019-01-26,1,Winter,18,Evening,1,26,High,93639.66999999995
81,847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68,3,14.5,304.54,1/26/2019,19:56:00,Ewallet,290.04,4.76,14.5,6.4,2019-01-26,1,Winter,19,Evening,1,26,Low,93944.20999999995
91,225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.43,471.03,1/26/2019,19:54:00,Ewallet,448.6,4.76,22.43,8.2,2019-01-26,1,Winter,19,Evening,1,26,High,94415.23999999995
226,836-82-5858,B,Mandalay,Member,Male,Health and beauty,69.37,9,31.22,655.55,1/26/2019,19:14:00,Ewallet,624.33,4.76,31.22,4.0,2019-01-26,1,Winter,19,Evening,1,26,Very low,95070.78999999995
230,289-65-5721,B,Mandalay,Normal,Female,Fashion accessories,81.37,2,8.14,170.88,1/26/2019,19:28:00,Cash,162.74,4.76,8.14,6.5,2019-01-26,1,Winter,19,Evening,1,26,Moderate,95241.66999999995
193,641-43-2399,B,Mandalay,Normal,Male,Home and lifestyle,25.55,4,5.11,107.31,1/26/2019,20:23:00,Ewallet,102.2,4.76,5.11,5.7,2019-01-26,1,Winter,20,Evening,1,26,Low,95348.97999999995
909,624-01-8356,B,Mandalay,Normal,Female,Home and lifestyle,49.01,10,24.5,514.6,1/27/2019,10:44:00,Credit card,490.1,4.76,24.5,4.2,2019-01-27,1,Winter,10,Morning,1,27,Very low,95863.57999999996
497,862-59-8517,C,Naypyitaw,Normal,Female,Food and beverages,90.24,6,27.07,568.51,1/27/2019,11:17:00,Cash,541.44,4.76,27.07,6.2,2019-01-27,1,Winter,11,Morning,1,27,Low,96432.08999999995
126,870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25,5,8.06,169.31,1/27/2019,13:26:00,Cash,161.25,4.76,8.06,9.0,2019-01-27,1,Winter,13,Noon,1,27,Very High,96601.39999999995
458,325-90-8763,C,Naypyitaw,Member,Female,Electronic accessories,46.57,10,23.28,488.98,1/27/2019,13:58:00,Cash,465.7,4.76,23.28,7.6,2019-01-27,1,Winter,13,Noon,1,27,High,97090.37999999995
368,613-59-9758,C,Naypyitaw,Normal,Female,Sports and travel,14.36,10,7.18,150.78,1/27/2019,14:28:00,Cash,143.6,4.76,7.18,5.4,2019-01-27,1,Winter,14,Noon,1,27,Low,97241.15999999995
388,394-41-0748,C,Naypyitaw,Member,Female,Fashion accessories,54.07,9,24.33,510.96,1/27/2019,14:55:00,Ewallet,486.63,4.76,24.33,9.5,2019-01-27,1,Winter,14,Noon,1,27,Very High,97752.11999999995
524,534-01-4457,A,Yangon,Normal,Male,Food and beverages,81.71,6,24.51,514.77,1/27/2019,14:36:00,Credit card,490.26,4.76,24.51,8.0,2019-01-27,1,Winter,14,Noon,1,27,High,98266.88999999996
273,633-91-1052,A,Yangon,Normal,Female,Home and lifestyle,12.03,2,1.2,25.26,1/27/2019,15:51:00,Cash,24.06,4.76,1.2,5.1,2019-01-27,1,Winter,15,Noon,1,27,Very low,98292.14999999995
591,788-07-8452,C,Naypyitaw,Member,Female,Home and lifestyle,24.24,7,8.48,178.16,1/27/2019,17:38:00,Ewallet,169.68,4.76,8.48,9.4,2019-01-27,1,Winter,17,Evening,1,27,Very High,98470.30999999995
512,595-27-4851,A,Yangon,Normal,Female,Fashion accessories,54.28,7,19.0,398.96,1/27/2019,18:05:00,Ewallet,379.96,4.76,19.0,9.3,2019-01-27,1,Winter,18,Evening,1,27,Very High,98869.26999999996
846,585-90-0249,A,Yangon,Member,Male,Electronic accessories,73.26,1,3.66,76.92,1/27/2019,18:08:00,Ewallet,73.26,4.76,3.66,9.7,2019-01-27,1,Winter,18,Evening,1,27,Very High,98946.18999999996
502,620-02-2046,C,Naypyitaw,Normal,Male,Home and lifestyle,69.4,2,6.94,145.74,1/27/2019,19:48:00,Ewallet,138.8,4.76,6.94,9.0,2019-01-27,1,Winter,19,Evening,1,27,Very High,99091.92999999996
3,123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,23.29,489.05,1/27/2019,20:33:00,Ewallet,465.76,4.76,23.29,8.4,2019-01-27,1,Winter,20,Evening,1,27,High,99580.97999999997
818,869-11-3082,B,Mandalay,Member,Male,Health and beauty,96.16,4,19.23,403.87,1/27/2019,20:03:00,Credit card,384.64,4.76,19.23,8.4,2019-01-27,1,Winter,20,Evening,1,27,High,99984.84999999996
872,544-55-9589,B,Mandalay,Member,Female,Electronic accessories,21.43,10,10.72,225.02,1/28/2019,11:51:00,Cash,214.3,4.76,10.72,6.2,2019-01-28,1,Winter,11,Morning,1,28,Low,100209.86999999997
31,149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9,35.13,737.76,1/28/2019,12:43:00,Cash,702.63,4.76,35.13,4.5,2019-01-28,1,Winter,12,Morning,1,28,Very low,100947.62999999996
154,400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,80.97,8,32.39,680.15,1/28/2019,13:05:00,Cash,647.76,4.76,32.39,9.3,2019-01-28,1,Winter,13,Noon,1,28,Very High,101627.77999999996
826,222-42-0244,B,Mandalay,Member,Female,Health and beauty,72.11,9,32.45,681.44,1/28/2019,13:53:00,Credit card,648.99,4.76,32.45,7.7,2019-01-28,1,Winter,13,Noon,1,28,High,102309.21999999996
236,211-30-9270,C,Naypyitaw,Normal,Male,Health and beauty,17.41,5,4.35,91.4,1/28/2019,15:16:00,Credit card,87.05,4.76,4.35,4.9,2019-01-28,1,Winter,15,Noon,1,28,Very low,102400.61999999995
989,430-53-4718,B,Mandalay,Member,Male,Health and beauty,75.37,8,30.15,633.11,1/28/2019,15:46:00,Credit card,602.96,4.76,30.15,8.4,2019-01-28,1,Winter,15,Noon,1,28,High,103033.72999999995
179,342-65-4817,C,Naypyitaw,Member,Male,Health and beauty,86.8,3,13.02,273.42,1/28/2019,16:47:00,Ewallet,260.4,4.76,13.02,9.9,2019-01-28,1,Winter,16,Noon,1,28,Very High,103307.14999999995
543,243-47-2663,C,Naypyitaw,Member,Male,Electronic accessories,18.77,6,5.63,118.25,1/28/2019,16:43:00,Credit card,112.62,4.76,5.63,5.5,2019-01-28,1,Winter,16,Noon,1,28,Low,103425.39999999995
445,390-80-5128,B,Mandalay,Member,Female,Health and beauty,19.15,1,0.96,20.11,1/28/2019,17:58:00,Credit card,19.15,4.76,0.96,9.5,2019-01-28,1,Winter,17,Evening,1,28,Very High,103445.50999999995
895,699-88-1972,B,Mandalay,Normal,Male,Health and beauty,99.16,8,39.66,832.94,1/28/2019,17:47:00,Credit card,793.28,4.76,39.66,4.2,2019-01-28,1,Winter,17,Evening,1,28,Very low,104278.44999999995
903,865-41-9075,A,Yangon,Normal,Male,Food and beverages,11.53,7,4.04,84.75,1/28/2019,17:35:00,Cash,80.71,4.76,4.04,8.1,2019-01-28,1,Winter,17,Evening,1,28,High,104363.19999999995
409,372-26-1506,C,Naypyitaw,Normal,Female,Fashion accessories,23.82,5,5.96,125.06,1/28/2019,19:24:00,Ewallet,119.1,4.76,5.96,5.4,2019-01-28,1,Winter,19,Evening,1,28,Low,104488.25999999995
189,593-65-1552,C,Naypyitaw,Normal,Female,Home and lifestyle,69.81,4,13.96,293.2,1/28/2019,20:50:00,Credit card,279.24,4.76,13.96,5.9,2019-01-28,1,Winter,20,Evening,1,28,Low,104781.45999999995
505,726-29-6793,A,Yangon,Member,Male,Electronic accessories,24.18,8,9.67,203.11,1/28/2019,20:54:00,Ewallet,193.44,4.76,9.67,9.8,2019-01-28,1,Winter,20,Evening,1,28,Very High,104984.56999999995
200,606-80-4905,C,Naypyitaw,Member,Female,Sports and travel,19.15,6,5.74,120.64,1/29/2019,10:01:00,Credit card,114.9,4.76,5.74,6.8,2019-01-29,1,Winter,10,Morning,1,29,Moderate,105105.20999999995
507,862-17-9201,B,Mandalay,Normal,Female,Food and beverages,84.05,6,25.22,529.52,1/29/2019,10:48:00,Credit card,504.3,4.76,25.22,7.7,2019-01-29,1,Winter,10,Morning,1,29,High,105634.72999999995
152,746-94-0204,A,Yangon,Normal,Male,Fashion accessories,83.24,9,37.46,786.62,1/29/2019,11:56:00,Credit card,749.16,4.76,37.46,7.4,2019-01-29,1,Winter,11,Morning,1,29,Moderate,106421.34999999995
479,575-67-1508,A,Yangon,Normal,Male,Electronic accessories,38.6,1,1.93,40.53,1/29/2019,11:26:00,Ewallet,38.6,4.76,1.93,6.7,2019-01-29,1,Winter,11,Morning,1,29,Moderate,106461.87999999995
571,343-61-3544,B,Mandalay,Member,Male,Sports and travel,26.67,10,13.34,280.04,1/29/2019,11:48:00,Cash,266.7,4.76,13.34,8.6,2019-01-29,1,Winter,11,Morning,1,29,High,106741.91999999994
373,382-25-8917,C,Naypyitaw,Normal,Male,Fashion accessories,42.08,6,12.62,265.1,1/29/2019,12:25:00,Cash,252.48,4.76,12.62,8.9,2019-01-29,1,Winter,12,Morning,1,29,Very High,107007.01999999995
995,233-67-5758,C,Naypyitaw,Normal,Male,Health and beauty,40.35,1,2.02,42.37,1/29/2019,13:46:00,Ewallet,40.35,4.76,2.02,6.2,2019-01-29,1,Winter,13,Noon,1,29,Low,107049.38999999994
255,110-48-7033,B,Mandalay,Member,Male,Fashion accessories,32.62,4,6.52,137.0,1/29/2019,14:12:00,Cash,130.48,4.76,6.52,9.0,2019-01-29,1,Winter,14,Noon,1,29,Very High,107186.38999999994
737,137-63-5492,C,Naypyitaw,Normal,Male,Electronic accessories,58.76,10,29.38,616.98,1/29/2019,14:26:00,Ewallet,587.6,4.76,29.38,9.0,2019-01-29,1,Winter,14,Noon,1,29,Very High,107803.36999999994
658,816-72-8853,A,Yangon,Member,Female,Sports and travel,27.93,5,6.98,146.63,1/29/2019,15:48:00,Cash,139.65,4.76,6.98,5.9,2019-01-29,1,Winter,15,Noon,1,29,Low,107949.99999999994
825,569-76-2760,A,Yangon,Member,Female,Sports and travel,22.01,4,4.4,92.44,1/29/2019,18:15:00,Credit card,88.04,4.76,4.4,6.6,2019-01-29,1,Winter,18,Evening,1,29,Moderate,108042.43999999994
695,800-09-8606,A,Yangon,Member,Female,Home and lifestyle,87.37,5,21.84,458.69,1/29/2019,19:45:00,Cash,436.85,4.76,21.84,6.6,2019-01-29,1,Winter,19,Evening,1,29,Moderate,108501.12999999995
845,804-38-3935,A,Yangon,Member,Male,Electronic accessories,93.78,3,14.07,295.41,1/30/2019,11:32:00,Credit card,281.34,4.76,14.07,5.9,2019-01-30,1,Winter,11,Morning,1,30,Low,108796.53999999995
379,182-69-8360,B,Mandalay,Normal,Female,Electronic accessories,23.65,4,4.73,99.33,1/30/2019,13:32:00,Credit card,94.6,4.76,4.73,4.0,2019-01-30,1,Winter,13,Noon,1,30,Very low,108895.86999999995
562,134-54-4720,B,Mandalay,Normal,Female,Electronic accessories,42.42,8,16.97,356.33,1/30/2019,13:58:00,Ewallet,339.36,4.76,16.97,5.7,2019-01-30,1,Winter,13,Noon,1,30,Low,109252.19999999995
747,664-14-2882,C,Naypyitaw,Member,Female,Home and lifestyle,10.53,5,2.63,55.28,1/30/2019,14:43:00,Credit card,52.65,4.76,2.63,5.8,2019-01-30,1,Winter,14,Noon,1,30,Low,109307.47999999995
343,416-13-5917,C,Naypyitaw,Normal,Female,Food and beverages,97.03,5,24.26,509.41,1/30/2019,16:24:00,Ewallet,485.15,4.76,24.26,9.3,2019-01-30,1,Winter,16,Noon,1,30,Very High,109816.88999999996
847,862-29-5914,C,Naypyitaw,Normal,Female,Sports and travel,22.38,1,1.12,23.5,1/30/2019,17:08:00,Credit card,22.38,4.76,1.12,8.6,2019-01-30,1,Winter,17,Evening,1,30,High,109840.38999999996
163,423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel,76.4,2,7.64,160.44,1/30/2019,19:42:00,Ewallet,152.8,4.76,7.64,6.5,2019-01-30,1,Winter,19,Evening,1,30,Moderate,110000.82999999996
488,556-72-8512,C,Naypyitaw,Normal,Male,Home and lifestyle,22.96,1,1.15,24.11,1/30/2019,20:47:00,Cash,22.96,4.76,1.15,4.3,2019-01-30,1,Winter,20,Evening,1,30,Very low,110024.93999999996
557,283-26-5248,C,Naypyitaw,Member,Female,Food and beverages,98.52,10,49.26,1034.46,1/30/2019,20:23:00,Ewallet,985.2,4.76,49.26,4.5,2019-01-30,1,Winter,20,Evening,1,30,Very low,111059.39999999997
256,366-93-0948,A,Yangon,Member,Male,Electronic accessories,66.35,1,3.32,69.67,1/31/2019,10:46:00,Credit card,66.35,4.76,3.32,9.7,2019-01-31,1,Winter,10,Morning,1,31,Very High,111129.06999999996
714,735-32-9839,C,Naypyitaw,Member,Male,Fashion accessories,98.7,8,39.48,829.08,1/31/2019,10:36:00,Ewallet,789.6,4.76,39.48,8.5,2019-01-31,1,Winter,10,Morning,1,31,High,111958.14999999997
809,189-55-2313,C,Naypyitaw,Normal,Female,Fashion accessories,62.18,10,31.09,652.89,1/31/2019,10:33:00,Ewallet,621.8,4.76,31.09,6.0,2019-01-31,1,Winter,10,Morning,1,31,Low,112611.03999999996
913,522-57-8364,A,Yangon,Member,Male,Fashion accessories,51.34,8,20.54,431.26,1/31/2019,10:00:00,Ewallet,410.72,4.76,20.54,7.6,2019-01-31,1,Winter,10,Morning,1,31,High,113042.29999999996
287,226-71-3580,C,Naypyitaw,Normal,Female,Sports and travel,23.75,9,10.69,224.44,1/31/2019,12:02:00,Cash,213.75,4.76,10.69,9.5,2019-01-31,1,Winter,12,Morning,1,31,Very High,113266.73999999996
220,239-36-3640,B,Mandalay,Normal,Male,Electronic accessories,45.35,6,13.6,285.7,1/31/2019,13:44:00,Ewallet,272.1,4.76,13.6,6.1,2019-01-31,1,Winter,13,Noon,1,31,Low,113552.43999999996
385,525-88-7307,B,Mandalay,Member,Male,Sports and travel,75.82,1,3.79,79.61,1/31/2019,13:19:00,Cash,75.82,4.76,3.79,5.8,2019-01-31,1,Winter,13,Noon,1,31,Low,113632.04999999996
454,187-83-5490,A,Yangon,Member,Male,Electronic accessories,20.77,4,4.15,87.23,1/31/2019,13:47:00,Cash,83.08,4.76,4.15,4.7,2019-01-31,1,Winter,13,Noon,1,31,Very low,113719.27999999996
310,532-59-7201,B,Mandalay,Member,Male,Sports and travel,79.93,6,23.98,503.56,1/31/2019,14:04:00,Cash,479.58,4.76,23.98,5.5,2019-01-31,1,Winter,14,Noon,1,31,Low,114222.83999999995
761,525-09-8450,B,Mandalay,Normal,Male,Electronic accessories,72.13,10,36.06,757.36,1/31/2019,15:12:00,Credit card,721.3,4.76,36.06,4.2,2019-01-31,1,Winter,15,Noon,1,31,Very low,114980.19999999995
227,583-72-1480,C,Naypyitaw,Member,Male,Electronic accessories,37.06,4,7.41,155.65,1/31/2019,16:24:00,Ewallet,148.24,4.76,7.41,9.7,2019-01-31,1,Winter,16,Noon,1,31,Very High,115135.84999999995
430,286-75-7818,B,Mandalay,Normal,Male,Fashion accessories,69.08,2,6.91,145.07,1/31/2019,19:48:00,Credit card,138.16,4.76,6.91,6.9,2019-01-31,1,Winter,19,Evening,1,31,Moderate,115280.91999999995
706,834-45-5519,B,Mandalay,Normal,Female,Electronic accessories,43.0,4,8.6,180.6,1/31/2019,20:48:00,Ewallet,172.0,4.76,8.6,7.6,2019-01-31,1,Winter,20,Evening,1,31,High,115461.51999999996
779,457-94-0464,B,Mandalay,Member,Male,Electronic accessories,87.87,9,39.54,830.37,1/31/2019,20:32:00,Ewallet,790.83,4.76,39.54,5.6,2019-01-31,1,Winter,20,Evening,1,31,Low,116291.88999999996
312,870-76-1733,A,Yangon,Member,Female,Food and beverages,14.23,5,3.56,74.71,2/1/2019,10:08:00,Credit card,71.15,4.76,3.56,4.4,2019-02-01,1,Winter,10,Morning,2,1,Very low,116366.59999999996
102,551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,10.38,218.01,2/1/2019,11:27:00,Cash,207.63,4.76,10.38,4.9,2019-02-01,1,Winter,11,Morning,2,1,Very low,116584.60999999996
169,105-31-1824,A,Yangon,Member,Male,Sports and travel,69.52,7,24.33,510.97,2/1/2019,15:10:00,Credit card,486.64,4.76,24.33,8.5,2019-02-01,1,Winter,15,Noon,2,1,High,117095.57999999996
539,358-88-9262,C,Naypyitaw,Member,Female,Food and beverages,87.48,6,26.24,551.12,2/1/2019,18:43:00,Ewallet,524.88,4.76,26.24,5.1,2019-02-01,1,Winter,18,Evening,2,1,Very low,117646.69999999995
581,443-82-0585,A,Yangon,Member,Female,Health and beauty,77.68,4,15.54,326.26,2/1/2019,19:54:00,Cash,310.72,4.76,15.54,8.4,2019-02-01,1,Winter,19,Evening,2,1,High,117972.95999999995
114,237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.36,763.47,2/1/2019,20:31:00,Credit card,727.11,4.76,36.36,9.5,2019-02-01,1,Winter,20,Evening,2,1,Very High,118736.42999999995
41,554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,5.61,117.83,2/2/2019,10:11:00,Cash,112.22,4.76,5.61,6.3,2019-02-02,1,Winter,10,Morning,2,2,Low,118854.25999999995
915,717-96-4189,C,Naypyitaw,Normal,Female,Electronic accessories,35.49,6,10.65,223.59,2/2/2019,12:40:00,Cash,212.94,4.76,10.65,4.1,2019-02-02,1,Winter,12,Morning,2,2,Very low,119077.84999999995
277,376-56-3573,C,Naypyitaw,Normal,Female,Fashion accessories,95.42,4,19.08,400.76,2/2/2019,13:23:00,Ewallet,381.68,4.76,19.08,6.4,2019-02-02,1,Winter,13,Noon,2,2,Low,119478.60999999994
931,756-93-1854,C,Naypyitaw,Member,Female,Fashion accessories,83.35,2,8.34,175.04,2/2/2019,14:05:00,Credit card,166.7,4.76,8.34,9.5,2019-02-02,1,Winter,14,Noon,2,2,Very High,119653.64999999994
250,845-51-0542,B,Mandalay,Member,Male,Food and beverages,46.55,9,20.95,439.9,2/2/2019,15:34:00,Ewallet,418.95,4.76,20.95,6.4,2019-02-02,1,Winter,15,Noon,2,2,Low,120093.54999999993
499,420-18-8989,A,Yangon,Member,Female,Sports and travel,51.52,8,20.61,432.77,2/2/2019,15:47:00,Cash,412.16,4.76,20.61,9.6,2019-02-02,1,Winter,15,Noon,2,2,Very High,120526.31999999993
745,390-17-5806,C,Naypyitaw,Member,Female,Food and beverages,38.42,1,1.92,40.34,2/2/2019,16:33:00,Cash,38.42,4.76,1.92,8.6,2019-02-02,1,Winter,16,Noon,2,2,High,120566.65999999993
69,382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1,0.92,19.25,2/2/2019,18:50:00,Cash,18.33,4.76,0.92,4.3,2019-02-02,1,Winter,18,Evening,2,2,Very low,120585.90999999993
